title,price,provence,year,fuel,kilometers,change,power
Ford Fiesta 1.5 TDCi 75cv Trend 5p,6.490 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,124.000 Km,,75 CV
Opel Vectra Elegance 1.9 CDTI 16v SW,4.990 €,"Utebo (Zaragoza)
Hace 5 horas",2008,Diesel,218.000 Km,,150 CV
BMW Serie 3 320D TOURING,10.990 €,"Utebo (Zaragoza)
Hace 5 horas",2009,Diesel,171.000 Km,,177 CV
Citroen Berlingo 1.6 HDi 75 Tonic,6.198 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,154.000 Km,,75 CV
Peugeot 407 ST Confort Pack HDI 136,4.490 €,"Utebo (Zaragoza)
Hace 5 horas",2004,Diesel,177.000 Km,,136 CV
BMW Serie 3 320D,6.490 €,"Utebo (Zaragoza)
Hace 5 horas",2009,Diesel,284.000 Km,,177 CV
Mazda Mazda3 1.6 CRTD 115cv Pulse,8.490 €,"Utebo (Zaragoza)
Hace 5 horas",2013,Diesel,99.000 Km,,115 CV
Mercedes Clase C 270 CDI CLASSIC,3.500 €,"Utebo (Zaragoza)
Hace 5 horas",2002,Diesel,236.000 Km,,170 CV
Opel Omega Elegance 2.5 DTI,3.290 €,"Utebo (Zaragoza)
Hace 5 horas",2003,Diesel,278.000 Km,,150 CV
Renault Kangoo Furgon Profesional 2014 dCi 90 Gen5,6.189 €,"Utebo (Zaragoza)
Hace 5 horas",2016,Diesel,116.000 Km,,90 CV
Land Rover Discovery 2.7 TDV6 SE,8.490 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,311.000 Km,,190 CV
Mazda Mazda3 1.6 CRTD Active,2.390 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,221.000 Km,,109 CV
Renault Scenic LUXE PRIVILEGE 1.9DCI,3.490 €,"Utebo (Zaragoza)
Hace 5 horas",2004,Diesel,148.000 Km,,120 CV
Ford S-Max 2.0 TDCi Trend,4.990 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Diesel,256.000 Km,,140 CV
Citroen Berlingo 1.4 600,2.892 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Gasolina,173.000 Km,,75 CV
Ford Transit 260 S 85CV,5.371 €,"Utebo (Zaragoza)
Hace 5 horas",2011,Diesel,222.000 Km,,85 CV
Audi A4 2.0 TDI 140cv,5.990 €,"Utebo (Zaragoza)
Hace 5 horas",2006,Diesel,320.000 Km,,140 CV
Volkswagen Golf 1.9 TDI 105cv Bluemotion Highline,7.490 €,"Utebo (Zaragoza)
Hace 5 horas",2008,Diesel,159.900 Km,,105 CV
