  TOYOTA Auris hybrid 140H Active  ,12.700 € ,Madrid,2015, Híbrido,44.596 km,Automático,136 cv
  HYUNDAI Tucson 1.6 GDI 4X2 ESSENCE BE  ,15.980 € ,Madrid,2019, Gasolina,15 km,Manual,131 cv
  HYUNDAI i20 MPI 1.2 KLASS 5P  ,8.690 € ,Madrid,2018, Gasolina,25.061 km,Manual,85 cv
  CITROEN C4 Cactus 1.2 PureTech Feel Edition 82  ,9.490 € ,Madrid,2016, Gasolina,36.000 km,Manual,82 cv
  PORSCHE Macan S Diesel Aut.  ,49.900 € ,Valencia,2014, Diesel,72.500 km,Automático,258 cv
  MERCEDES-BENZ Clase E 300 170KW( 231CV ) CDI BLUE EFFICIENCY ELEGANCE  ,26.500 € ,Albacete,2012, Diesel,88.164 km,Automático,
  SUZUKI SX4 1.9DDiS GLX  ,8.990 € ,Albacete,2010, Diesel,88.150 km,Manual,120 cv
  VOLKSWAGEN Golf 1.6TDI CR BMT Advance 105  ,10.700 € ,Vizcaya,2015, Diesel,135.000 km,Manual,105 cv
  MERCEDES-BENZ Clase CLA 200d AMG Line7G-DCT  ,26.900 € ,Pontevedra,2017, Diesel,20.300 km,Automático,136 cv
  LAND-ROVER Range Rover Sport 3.0TDV6 HSE Aut.  ,44.910 € ,Madrid,2016, Diesel,36.801 km,Automático,258 cv
  NISSAN Qashqai 1.6 DIG-T 360 4x2  ,14.600 € ,Madrid,2015, Gasolina,54.872 km,Manual,163 cv
  SEAT Arona 1.0 TSI ECO. S&S FR DSG-7 AUTOMaTICO  ,17.270 € ,Madrid,2018, Gasolina,10.000 km,Automático,115 cv
  AUDI A3 Sportback 2.0TDI Sport ed. S-T 7 110kW  ,22.400 € ,Barcelona,2017, Diesel,26.200 km,Automático,150 cv
  HYUNDAI i30 1.6CRDi Tecno 110  ,13.910 € ,Madrid,2018, Diesel,17.238 km,Manual,110 cv
  NISSAN Qashqai DIG-T E6D N-CONNECTA  ,17.710 € ,Madrid,2018, Gasolina,15.000 km,Manual,140 cv
  HYUNDAI i30 1.6CRDi BD Cruise 110  ,10.360 € ,Madrid,2016, Diesel,58.111 km,Manual,110 cv
  NISSAN Qashqai DIG-T E6D N-CONNECTA  ,17.710 € ,Madrid,2018, Gasolina,15.000 km,Manual,140 cv
  HYUNDAI Ioniq HEV 1.6 GDI DT KLASS  ,18.130 € ,Madrid,2019, Gasolina,10.000 km,Automático,141 cv
  HYUNDAI Kona TGDI 1.6 4X4 DT STYLE SKY RED  ,20.380 € ,Madrid,2017, Gasolina,8.019 km,Automático,176 cv
  PEUGEOT 308 1.6HDI Style FAP  ,12.850 € ,Burgos,2015, Diesel,91.396 km,Manual,92 cv
  HYUNDAI i10 1.0 Tecno  ,8.800 € ,Madrid,2018, Gasolina,0 km,Manual,66 cv
  NISSAN Qashqai 1.5dCi N-Tec 4x2  ,10.110 € ,Madrid,2015, Diesel,127.197 km,Manual,110 cv
  DS DS3 1.2 PureTech Desire 82  ,9.150 € ,Madrid,2017, Gasolina,75.236 km,Manual,82 cv
  VOLKSWAGEN CC 2.0TDI BMT ADVANCE 140  ,15.700 € ,Madrid,2014, Diesel,114.544 km,Manual,140 cv
  HYUNDAI i20 5P TGDI 1.0 ESSENCE LE  ,10.800 € ,Madrid,2019, Gasolina,15 km,Manual,100 cv
  HYUNDAI Santa Fe 2.2CRDi 4x4 Style 7s Aut.  ,36.190 € ,Madrid,2018, Diesel,10.000 km,Automático,200 cv
  FIAT 500X 1.3Mjt Pop Star 4x2 70kW  ,15.900 € ,Valencia,2017, Diesel,6.517 km,Manual,95 cv
